Phone,Price,Mobile Link,Brand,Color
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOoAh3S9_yW-yTxZmQVV9ZMPUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Nothing,2a) 5G (Black
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOpxZAc-NeZ8jPcDq76iHqNmPYUGIjUOADVcPXDZVgj3UvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,REDMI,Starfrost White
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Motorola,Power Black
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Motorola,Ocean Green
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Motorola,Charcoal Black
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,MOTOROLA,Ice Blue
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,MOTOROLA,Ink blue
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOpyAlUVk-E4brgNLyeLc2vGQp-asJH5MfYQ-5BYgyKFk33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,SAMSUNG,Ash Black
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,MOTOROLA,Ink blue
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,MOTOROLA,Royal Blue
