Phone,Price,Mobile Link,Brand,Color,Storage,Image URL
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999",https://www.flipkart.com/realme-p1-5g-phoenix-red-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BXSENZRV3&lid=LSTMOBGYQ6BXSENZRV35OQT6P&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_T7BpyjfqyETbkuj6WemvViOgg6JTEtZ6fAaqNkkJEl4sGTVUUMTBvLGMHrpJY-WF6p4ymEVvIi-7iqJjc3vmrw%3D%3D&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,realme,2a,Not available,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/d/n/-original-imagzz85mgezrcpe.jpeg?q=70
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_T7BpyjfqyETbkuj6WemvViOgg6JTEtZ6fAaqNkkJEl5s0mR6bPkNtylpBk3V8wMO_jynHU_QJtKm4JuqoT_7HQ%3D%3D&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Nothing,Starfrost White,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/x/-original-imagyr3vfpqrpkbv.jpeg?q=70
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Motorola,Power Black,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Motorola,Ocean Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Motorola,Charcoal Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70
"Motorola Edge 40 Neo (Soothing Sea, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-40-neo-soothing-sea-256-gb/p/itm5bd7da24f41ef?pid=MOBGQFX6H2H2UHFZ&lid=LSTMOBGQFX6H2H2UHFZTTEXAM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGQFX6H2H2UHFZ.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Motorola,Ice Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/h/7/edge-40-neo-payj0004in-motorola-original-imagtkezzam4qxfq.jpeg?q=70
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,MOTOROLA,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/w/j/g24-pb1c0000in-motorola-original-imagxm3afhhxpqz9.jpeg?q=70
"MOTOROLA G04 (Concord Black, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g04-concord-black-128-gb/p/itm79853c1ebe7ee?pid=MOBGUFK4TBVGPXJZ&lid=LSTMOBGUFK4TBVGPXJZMOBP9E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4TBVGPXJZ.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,MOTOROLA,Ash Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/s/z/g04-pb130010in-motorola-original-imagy3tecryv84k7.jpeg?q=70
"Motorola g54 5G (Pearl Blue, 128 GB)","₹14,999",https://www.flipkart.com/motorola-g54-5g-pearl-blue-128-gb/p/itm8d5c2baa065c6?pid=MOBGQFX8TMM555GW&lid=LSTMOBGQFX8TMM555GWMGXPWV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGQFX8TMM555GW.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,Motorola,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/1/c/-original-imagt5uhcnfy66wa.jpeg?q=70
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=00a4d4f2-822a-401e-bd0f-31d1c2d32a87.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=8bbkjsf2tc0000001713282942321,MOTOROLA,Royal Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/b/x/g04-pb130011in-motorola-original-imagy3tfvncuegaz.jpeg?q=70
