Phone,Price,Mobile Link,Brand,Color,Storage
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_h1-LzQchake5eJT6A9EsDEZgLgNrvFJ9T5XXBX5MSuvcWVIFS7ywRPlSetDlIM1Xf3xE0TTx6J-yO5FQYT2j_Q%3D%3D&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,Nothing,2a,Not available
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,Motorola,Starfrost White,128 GB
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,POCO,Power Black,64 GB
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,Motorola,Ocean Green,128 GB
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,Motorola,Charcoal Black,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,Ice Blue,128 GB
"MOTOROLA G04 (Concord Black, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g04-concord-black-128-gb/p/itm79853c1ebe7ee?pid=MOBGUFK4TBVGPXJZ&lid=LSTMOBGUFK4TBVGPXJZMOBP9E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4TBVGPXJZ.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,Ink blue,128 GB
"Motorola g54 5G (Pearl Blue, 128 GB)","₹14,999",https://www.flipkart.com/motorola-g54-5g-pearl-blue-128-gb/p/itm8d5c2baa065c6?pid=MOBGQFX8TMM555GW&lid=LSTMOBGQFX8TMM555GWMGXPWV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGQFX8TMM555GW.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,Motorola,Ash Black,128 GB
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,Ink blue,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,Royal Blue,64 GB
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,White,512 GB
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,490",https://www.flipkart.com/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGNBFNDPGNJ7HY.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,SAMSUNG,Groovy Violet,128 GB
"POCO C65 (Pastel Blue, 128 GB)","₹7,999",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGVVTXTQDGZ7JY.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,POCO,Starshine Green,128 GB
