Phone,Price,Mobile Link,Rating
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUWrCzaXviWJGXgOU-2LzJBhUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,428",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BATM9NUR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.4
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS488YYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.4
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,499",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZIOJLVZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹17,499",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNI4CBJY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.4
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUWvJmBQrwD1gpYctqykLHtCh6fxwmfOxfzvUSwvgAj2o2aRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.3
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.3
