Phone,Price,Mobile Link,Rating,Reviews
KARBONN JIO BHARAT A1,"₹1,499",https://www.flipkart.com/karbonn-jio-bharat-a1/p/itmef1ca9b5777f3?pid=MOBGZF79G7UENACJ&lid=LSTMOBGZF79G7UENACJ1XV0RN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_29_682&otracker=browse&fm=organic&iid=d96bc818-f1e7-4208-81b5-046eecc0015b.MOBGZF79G7UENACJ.SEARCH&ppt=None&ppn=None&ssid=n78bxiw34w0000001713284371380,5,No reviews available
"itel A60s (Glacier Green, 64 GB)","₹6,270",https://www.flipkart.com/itel-a60s-glacier-green-64-gb/p/itm5b595c7401d19?pid=MOBGX38MMP8HBCAN&lid=LSTMOBGX38MMP8HBCANCFHF1K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_27_626&otracker=browse&fm=organic&iid=d5ab4b1c-f68f-4baf-a05a-d761b6bd71a7.MOBGX38MMP8HBCAN.SEARCH&ppt=None&ppn=None&ssid=z1i7rrdjlc0000001713284369324,4.7,No reviews available
"itel A60s (Glacier Green, 64 GB)","₹6,270",https://www.flipkart.com/itel-a60s-glacier-green-64-gb/p/itm5b595c7401d19?pid=MOBGX38MMP8HBCAN&lid=LSTMOBGX38MMP8HBCANCFHF1K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_28_661&otracker=browse&fm=organic&iid=55e2be2d-9212-43c6-bd85-ad9a947c1f07.MOBGX38MMP8HBCAN.SEARCH&ppt=None&ppn=None&ssid=8kat8s0wog0000001713284370297,4.7,No reviews available
itel Power 450 | 2.4 inch Big Display | 2500 mAh Battery | Type C Charging,"₹1,434",https://www.flipkart.com/itel-power-450-2-4-inch-big-display-2500-mah-battery-type-c-charging/p/itm9d07979887855?pid=MOBGX9S2ZBF37WFF&lid=LSTMOBGX9S2ZBF37WFFKF4YRD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_30_701&otracker=browse&fm=organic&iid=0898a07b-2938-4591-b0c5-98a9fbb1bb25.MOBGX9S2ZBF37WFF.SEARCH&ppt=None&ppn=None&ssid=qpfdyf4tbk0000001713284372539,4.7,No reviews available
"itel A60s (Glacier Green, 64 GB)","₹6,270",https://www.flipkart.com/itel-a60s-glacier-green-64-gb/p/itm5b595c7401d19?pid=MOBGX38MMP8HBCAN&lid=LSTMOBGX38MMP8HBCANCFHF1K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_37_879&otracker=browse&fm=organic&iid=de792bd4-8c34-4eac-8801-c08e6e9b02d8.MOBGX38MMP8HBCAN.SEARCH&ppt=None&ppn=None&ssid=iorc5ix3k00000001713284382646,4.7,No reviews available
"Apple iPhone 15 (Blue, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZYO7HQ2L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=e1a60755-3aa1-4281-b97a-e9214524ec8d.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=9upmr9be0w0000001713284327786,4.6,No reviews available
"Apple iPhone 15 (Black, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=browse&fm=organic&iid=e1a60755-3aa1-4281-b97a-e9214524ec8d.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=9upmr9be0w0000001713284327786,4.6,No reviews available
"Apple iPhone 15 (Green, 128 GB)","₹65,999",https://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXXIP6YM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_7_151&otracker=browse&fm=organic&iid=dab152e6-f655-4fdb-8dca-975449972de8.MOBGTAGPYYWZRUJX.SEARCH&ppt=None&ppn=None&ssid=n7qayxrv340000001713284345161,4.6,No reviews available
"Apple iPhone 15 (Black, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-black-256-gb/p/itm6f0727e3e3b52?pid=MOBGTAGPSMHFKHT5&lid=LSTMOBGTAGPSMHFKHT5QSQH4U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_11_253&otracker=browse&fm=organic&iid=6f13333e-2257-43b9-9b85-196cae86494f.MOBGTAGPSMHFKHT5.SEARCH&ppt=None&ppn=None&ssid=fivzmhhgvk0000001713284350811,4.6,No reviews available
"Apple iPhone 15 Plus (Black, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-black-128-gb/p/itme3a53984760fb?pid=MOBGTAGPNRQA7CS3&lid=LSTMOBGTAGPNRQA7CS3L7XK7L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_12_269&otracker=browse&fm=organic&iid=b22a44fe-020d-4321-b531-53d509c5cfb1.MOBGTAGPNRQA7CS3.SEARCH&ppt=None&ppn=None&ssid=47gelppxo00000001713284352216,4.6,No reviews available
