Phone,Price,Mobile Link,Rating,Reviews
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_j_f1I04hFDT6r5CrHnJDq0VXL1H7527pExQ6v-V1HmO1_-hlr9hAzHPvYktXvsWWf3xE0TTx6J-yO5FQYT2j_Q%3D%3D&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,347",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS7Z6DKL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,432",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BANJ5XF3&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Black Gladiator, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9A9UCT35A&lid=LSTMOBGXZG9A9UCT35AGNETW4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGXZG9A9UCT35A.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,428",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZKIFVYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-sunstone-orange-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9HX9EUTZR&lid=LSTMOBGXZG9HX9EUTZRVKASRL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGXZG9HX9EUTZR.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.4,No reviews available
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.3,No reviews available
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.3,No reviews available
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
