Phone,Price,Mobile Link,Rating
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCyXACncjNTRgy-OWdlt277GUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.4
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCyYgS-3qhxoMBX0XcTLdmOJh6fxwmfOxfzvUSwvgAj2o2aRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCzFAlIQGPQsZaOSEs63L3x_B5-aRppkgDwG2QWURTatePKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.3
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_0nU2Dk09RUuLggMC9zY1qBjcVyM3c3aOEgLdsq51aCzIZciaSJ7FAb1YbhWAGC8rYAI8Xkdz4SuszQeLtxJaBfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=1e453e91-16de-404b-b13a-1cc07c13dd15.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=a06ss4q5nk0000001713053440941,4.2
